impulse_id,origin_time,origin_price,extreme_time,extreme_price,delta_t,delta_p,slope_raw,slope_log,quality_score,detector_name,direction,origin_bar_index,extreme_bar_index
pivot_n5_1815,2020-07-08 00:00:00+00:00,9475.0,2020-07-16 00:00:00+00:00,9005.0,8,-470.0,-58.75,-0.006359596542571338,0.2226927826821793,pivot_n5,down,1815,1823
pivot_n5_1823,2020-07-16 00:00:00+00:00,9005.0,2021-01-08 00:00:00+00:00,41986.37,176,32981.37,187.39414772727275,0.008747528768049309,1.0,pivot_n5,up,1823,1999
pivot_n5_1840,2020-08-02 00:00:00+00:00,12134.29,2020-09-05 00:00:00+00:00,9813.0,34,-2321.290000000001,-68.27323529411767,-0.0062449203469376584,0.5335108051835418,pivot_n5,down,1840,1874
pivot_n5_1840,2020-08-02 00:00:00+00:00,10546.15,2021-02-17 00:00:00+00:00,52640.35,199,42094.2,211.52864321608038,0.008079005384531476,1.0,pivot_n5,up,1840,2039
pivot_n5_1848,2020-08-10 00:00:00+00:00,12086.22,2020-09-05 00:00:00+00:00,9813.0,26,-2273.2199999999993,-87.43153846153844,-0.0080137662857194,0.5974589509848439,pivot_n5,down,1848,1874
pivot_n5_1849,2020-08-11 00:00:00+00:00,11120.0,2021-02-21 00:00:00+00:00,58367.0,194,47247.0,243.54123711340208,0.008546419447459925,1.0,pivot_n5,up,1849,2043
pivot_n5_1855,2020-08-17 00:00:00+00:00,12486.61,2020-09-05 00:00:00+00:00,9813.0,19,-2673.6100000000006,-140.71631578947373,-0.012681517523111915,0.8220051417013311,pivot_n5,down,1855,1874
pivot_n5_1863,2020-08-25 00:00:00+00:00,11102.73,2021-03-13 00:00:00+00:00,61788.45,200,50685.72,253.42860000000002,0.00858262714884281,1.0,pivot_n5,up,1863,2063
pivot_n5_1870,2020-09-01 00:00:00+00:00,12086.0,2020-09-05 00:00:00+00:00,9813.0,4,-2273.0,-568.25,-0.05208493017875257,1.0,pivot_n5,down,1870,1874
pivot_n5_1874,2020-09-05 00:00:00+00:00,9813.0,2021-03-13 00:00:00+00:00,61788.45,189,51975.45,275.0023809523809,0.009735494267559227,1.0,pivot_n5,up,1874,2063
pivot_n5_1888,2020-09-19 00:00:00+00:00,11179.9,2020-09-23 00:00:00+00:00,10135.22,4,-1044.6800000000003,-261.1700000000001,-0.024525259129664672,0.7000137365332916,pivot_n5,down,1888,1892
pivot_n5_1892,2020-09-23 00:00:00+00:00,10135.22,2021-03-13 00:00:00+00:00,61788.45,171,51653.229999999996,302.06567251461985,0.010571344837243198,1.0,pivot_n5,up,1892,2063
pivot_n5_1897,2020-09-28 00:00:00+00:00,10956.11,2020-10-02 00:00:00+00:00,10363.76,4,-592.3500000000004,-148.0875000000001,-0.013895546540386444,0.3969188046440014,pivot_n5,down,1897,1901
pivot_n5_1901,2020-10-02 00:00:00+00:00,10363.76,2021-04-14 00:00:00+00:00,64899.0,194,54535.24,281.10948453608245,0.009456273762481007,1.0,pivot_n5,up,1901,2095
pivot_n5_1911,2020-10-12 00:00:00+00:00,11736.02,2020-10-16 00:00:00+00:00,11201.0,4,-535.0200000000004,-133.7550000000001,-0.011664921241943014,0.358503416663516,pivot_n5,down,1911,1915
pivot_n5_1956,2020-11-26 00:00:00+00:00,16200.0,2021-04-14 00:00:00+00:00,64899.0,139,48699.0,350.3525179856115,0.009984323546996429,1.0,pivot_n5,up,1956,2095
pivot_n5_1961,2020-12-01 00:00:00+00:00,19915.14,2020-12-11 00:00:00+00:00,17580.0,10,-2335.1399999999994,-233.51399999999995,-0.012471835422884422,0.9896148436415714,pivot_n5,down,1961,1971
pivot_n5_1971,2020-12-11 00:00:00+00:00,17580.0,2021-04-14 00:00:00+00:00,64899.0,124,47319.0,381.60483870967744,0.010532825185595248,1.0,pivot_n5,up,1971,2095
pivot_n5_1999,2021-01-08 00:00:00+00:00,41986.37,2021-01-22 00:00:00+00:00,28732.0,14,-13254.370000000003,-946.7407142857145,-0.027095254113717326,1.0,pivot_n5,down,1999,2013
pivot_n5_2002,2021-01-11 00:00:00+00:00,30100.0,2021-04-14 00:00:00+00:00,64899.0,93,34799.0,374.18279569892474,0.008261366059311956,1.0,pivot_n5,up,2002,2095
pivot_n5_2013,2021-01-22 00:00:00+00:00,28732.0,2021-04-14 00:00:00+00:00,64899.0,82,36167.0,441.0609756097561,0.009936838183637643,1.0,pivot_n5,up,2013,2095
pivot_n5_2020,2021-01-29 00:00:00+00:00,38570.13,2021-06-22 00:00:00+00:00,28800.0,144,-9770.129999999997,-67.84812499999998,-0.0020284913581094413,1.0,pivot_n5,down,2020,2164
pivot_n5_2043,2021-02-21 00:00:00+00:00,58367.0,2021-06-22 00:00:00+00:00,28800.0,121,-29567.0,-244.35537190082644,-0.005837812185849269,1.0,pivot_n5,down,2043,2164
pivot_n5_2050,2021-02-28 00:00:00+00:00,43016.0,2021-04-14 00:00:00+00:00,64899.0,45,21883.0,486.2888888888889,0.009139112794743663,1.0,pivot_n5,up,2050,2095
pivot_n5_2053,2021-03-03 00:00:00+00:00,52666.0,2021-06-22 00:00:00+00:00,28800.0,111,-23866.0,-215.00900900900902,-0.005437790080261196,1.0,pivot_n5,down,2053,2164
pivot_n5_2063,2021-03-13 00:00:00+00:00,61788.45,2021-06-22 00:00:00+00:00,28800.0,101,-32988.45,-326.61831683168316,-0.007557832343080694,1.0,pivot_n5,down,2063,2164
pivot_n5_2066,2021-03-16 00:00:00+00:00,53221.0,2021-04-14 00:00:00+00:00,64899.0,29,11678.0,402.6896551724138,0.006840660688594102,1.0,pivot_n5,up,2066,2095
pivot_n5_2075,2021-03-25 00:00:00+00:00,50305.0,2021-04-14 00:00:00+00:00,64899.0,20,14594.0,729.7,0.01273638697634139,1.0,pivot_n5,up,2075,2095
pivot_n5_2083,2021-04-02 00:00:00+00:00,60055.02,2021-06-22 00:00:00+00:00,28800.0,81,-31255.019999999997,-385.8644444444444,-0.009072663640648833,1.0,pivot_n5,down,2083,2164
pivot_n5_2088,2021-04-07 00:00:00+00:00,55400.0,2021-10-20 00:00:00+00:00,66999.0,196,11599.0,59.17857142857143,0.0009698882660878014,1.0,pivot_n5,up,2088,2284
pivot_n5_2095,2021-04-14 00:00:00+00:00,64899.0,2021-06-22 00:00:00+00:00,28800.0,69,-36099.0,-523.1739130434783,-0.011774736639549878,1.0,pivot_n5,down,2095,2164
pivot_n5_2106,2021-04-25 00:00:00+00:00,47044.01,2021-11-10 00:00:00+00:00,69000.0,199,21955.989999999998,110.33160804020099,0.0019247384826207698,1.0,pivot_n5,up,2106,2305
pivot_n5_2116,2021-05-05 00:00:00+00:00,52913.02,2021-11-10 00:00:00+00:00,69000.0,189,16086.980000000003,85.11629629629631,0.0014045347685345572,1.0,pivot_n5,up,2116,2305
pivot_n5_2121,2021-05-10 00:00:00+00:00,59592.2,2021-06-22 00:00:00+00:00,28800.0,43,-30792.199999999997,-716.0976744186046,-0.01691044897399143,1.0,pivot_n5,down,2121,2164
pivot_n5_2130,2021-05-19 00:00:00+00:00,30000.0,2021-11-10 00:00:00+00:00,69000.0,175,39000.0,222.85714285714286,0.004759480702486308,1.0,pivot_n5,up,2130,2305
pivot_n5_2141,2021-05-30 00:00:00+00:00,33333.0,2021-11-10 00:00:00+00:00,69000.0,164,35667.0,217.48170731707316,0.004436332971507793,1.0,pivot_n5,up,2141,2305
pivot_n5_2145,2021-06-03 00:00:00+00:00,39489.82,2021-06-22 00:00:00+00:00,28800.0,19,-10689.82,-562.6221052631579,-0.016614080527910042,1.0,pivot_n5,down,2145,2164
pivot_n5_2150,2021-06-08 00:00:00+00:00,31004.95,2021-11-10 00:00:00+00:00,69000.0,155,37995.05,245.1293548387097,0.005161029906063487,1.0,pivot_n5,up,2150,2305
pivot_n5_2157,2021-06-15 00:00:00+00:00,41322.55,2021-06-22 00:00:00+00:00,28800.0,7,-12522.550000000003,-1788.9357142857148,-0.05157613838018488,1.0,pivot_n5,down,2157,2164
pivot_n5_2164,2021-06-22 00:00:00+00:00,28800.0,2021-11-10 00:00:00+00:00,69000.0,141,40200.0,285.1063829787234,0.00619667459188198,1.0,pivot_n5,up,2164,2305
pivot_n5_2171,2021-06-29 00:00:00+00:00,36675.0,2021-07-20 00:00:00+00:00,29301.56,21,-7373.439999999999,-351.1161904761904,-0.010688312719167934,1.0,pivot_n5,down,2171,2192
pivot_n5_2180,2021-07-08 00:00:00+00:00,32111.0,2021-11-10 00:00:00+00:00,69000.0,125,36889.0,295.112,0.006119262832277165,1.0,pivot_n5,up,2180,2305
pivot_n5_2192,2021-07-20 00:00:00+00:00,29301.56,2021-11-10 00:00:00+00:00,69000.0,113,39698.44,351.3136283185841,0.007579342899741068,1.0,pivot_n5,up,2192,2305
pivot_n5_2208,2021-08-05 00:00:00+00:00,37300.0,2021-11-10 00:00:00+00:00,69000.0,97,31700.0,326.8041237113402,0.0063413729685308185,1.0,pivot_n5,up,2208,2305
